phase,metric,is_direct_outcome_metric,is_construct_overlap_metric,n_successful,mean_successful,n_semi_successful,mean_semi_successful,n_unsuccessful_dialogue,mean_unsuccessful_dialogue,min_value,max_value,overall_mean,overall_median
natural_language_generation,nlg_bleu,False,False,409,0.4274948655256724,19,0.010484210526315789,24,0.0,0.0,1.0,0.38726681415929204,0.39480000000000004
natural_language_generation,nlg_conciseness,False,False,409,0.9863809290953546,19,1.0,24,1.0,0.8466,1.0,0.9876765486725664,1.0
natural_language_generation,nlg_constraint_mention_precision,False,True,408,1.0,2,0.0,0,,0.0,1.0,0.9951219512195122,1.0
natural_language_generation,nlg_constraint_mention_recall,False,True,408,1.0,2,0.0,0,,0.0,1.0,0.9951219512195122,1.0
natural_language_generation,nlg_constraint_satisfaction_rate,False,True,409,1.0,19,0.0,24,0.0,0.0,1.0,0.9048672566371682,1.0
natural_language_generation,nlg_distinct_1,False,False,409,0.387359413202934,19,0.4641947368421052,24,0.7441291666666667,0.2677,1.0,0.40953274336283185,0.3884
natural_language_generation,nlg_distinct_2,False,False,409,0.6733738386308068,19,0.6303684210526316,24,0.9392999999999999,0.4857,1.0,0.6856860619469026,0.6667
natural_language_generation,nlg_estimated_spoken_duration,False,False,409,31.134911980440098,19,26.19618947368421,24,14.397720833333333,2.7273,64.9091,30.038610398230087,28.0909
natural_language_generation,nlg_excess_verbosity_rate,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
natural_language_generation,nlg_executable_utterance_rate,False,False,409,0.8021775061124694,19,0.2611,24,0.0,0.0,1.0,0.7368396017699116,0.8
natural_language_generation,nlg_faithfulness,False,False,409,0.9943004889975551,19,0.44283684210526314,24,0.0,0.0,1.0,0.918324778761062,1.0
natural_language_generation,nlg_formatting_violation_rate,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
