source_run,condition_id,condition_state,run_type,scenario_key,persona_key,message_count,agent_a_turn_count,agent_b_turn_count,memory_snapshot_count,candidate_count,unique_route_count,state_task_variable_agreement,active_constraint_agreement,current_route_agreement,agent_a_constraint_count,agent_b_constraint_count,agent_a_clarification_count,agent_b_clarification_count,final_agent_a_focus,final_agent_b_focus,focus_disagreement_count
20260713_211034_b-n0001,C-MPCC-CAR-MC-PIP-FWH-QQ57I-DEFAU-LRG-I0-e22548939d-T,not_started,text_only,morning_peak_cross_city,crowd_averse_rider,,,,,,,,,,,,,,,,
20260713_211034_b-n0001_02,C-MPCC-CAR-MC-PIP-FWH-QQ57I-PSS-LRG-I0-9b1b94f955-T,not_started,text_only,morning_peak_cross_city,crowd_averse_rider,,,,,,,,,,,,,,,,
20260713_211034_b-n0001_03,C-AC-RAN-CLEAN-PIP-FWH-QQ57I-PAP-LRG-I0-0fca0686d4-T,completed,text_only,airport_connection,risk_averse_novice,11,6,5,11,4,4,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,7
20260713_211034_b-n0001_04,C-LE-AR-CLEAN-PIP-FWH-QQ57I-PCP-LRG-I0-a41617af9b-T,not_started,text_only,late_event,accessibility_rider,,,,,,,,,,,,,,,,
20260713_211145_b-n0001,C-MPCC-CAR-MC-PIP-FWH-QQ57I-DEFAU-LRG-I0-e22548939d-A,not_started,audio_variant,morning_peak_cross_city,crowd_averse_rider,,,,,,,,,,,,,,,,
20260713_211145_b-n0001_02,C-MPCC-CAR-MC-PIP-FWH-QQ57I-PSS-LRG-I0-9b1b94f955-A,not_started,audio_variant,morning_peak_cross_city,crowd_averse_rider,,,,,,,,,,,,,,,,
20260713_211145_b-n0001_03,C-LE-AR-CLEAN-PIP-FWH-QQ57I-PCP-LRG-I0-a41617af9b-A,not_started,audio_variant,late_event,accessibility_rider,,,,,,,,,,,,,,,,
20260713_211213_b-n0001,C-MPCC-RAN-SC-PIP-FWH-QQ57I-DEFAU-LRG-I0-0c7d0abf1b-T,not_started,text_only,morning_peak_cross_city,risk_averse_novice,,,,,,,,,,,,,,,,
20260713_211219_b-n0001,C-MPCC-AR-CLEAN-PIP-FWH-QQ57I-PAP-LRG-I0-ab7bd7ec78-T,not_started,text_only,morning_peak_cross_city,accessibility_rider,,,,,,,,,,,,,,,,
20260713_211220_b-n0001,C-HA-CAR-SC-PIP-FWH-QQ57I-PAP-LRG-I0-eba3895eab-T,not_started,text_only,hospital_appointment,crowd_averse_rider,,,,,,,,,,,,,,,,
20260713_211245_b-n0001,C-MPCC-RAN-SC-PIP-FWH-QQ57I-DEFAU-LRG-I0-0c7d0abf1b-A,not_started,audio_variant,morning_peak_cross_city,risk_averse_novice,,,,,,,,,,,,,,,,
20260713_211256_b-n0001,C-HA-CAR-SC-PIP-FWH-QQ57I-PAP-LRG-I0-eba3895eab-A,not_started,audio_variant,hospital_appointment,crowd_averse_rider,,,,,,,,,,,,,,,,
