source_run,condition_id,condition_state,run_type,scenario_key,persona_key,message_count,agent_a_turn_count,agent_b_turn_count,memory_snapshot_count,candidate_count,unique_route_count,state_task_variable_agreement,active_constraint_agreement,current_route_agreement,agent_a_constraint_count,agent_b_constraint_count,agent_a_clarification_count,agent_b_clarification_count,final_agent_a_focus,final_agent_b_focus,focus_disagreement_count
20260711_163827_b-n0001,C-AC-CAR-MC-PIP-VOS-MP3M4-DEFAU-MED-I0-4790f491a9-T,completed,text_only,airport_connection,crowd_averse_rider,9,5,4,9,4,4,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,4
20260711_164528_b-n0001,C-MT-FC-CLEAN-PIP-FWH-MP3M4-DEFAU-MED-I0-822f2e47a0-A,completed,audio_variant,midday_transfer,focused_commuter,13,7,6,13,3,2,1.0,1.0,1.0,3,3,1,0,route,clarification,11
20260711_164958_b-n0001,C-AC-CAR-MC-PIP-VOS-MP3M4-DEFAU-MED-I0-4790f491a9-A,completed,audio_variant,airport_connection,crowd_averse_rider,17,9,8,17,6,6,1.0,1.0,0.0,3,3,2,0,transfers,confirmation,12
20260711_170200_b-n0001,C-MT-CAR-MC-PIP-VOS-MP3M4-DEFAU-MED-I0-400501dfd8-T,completed,text_only,midday_transfer,crowd_averse_rider,9,5,4,9,4,4,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,4
20260711_170200_b-n0001_02,C-CEE-DST-HESIT-PIP-FWH-MP3M4-DEFAU-MED-I0-4fd7adbe12-T,completed,text_only,crowded_event_exit,delay_sensitive_traveler,9,5,4,9,4,4,0.6666666666666666,1.0,1.0,3,3,0,0,reliability,confirmation,6
20260711_170731_b-n0001,C-AC-DST-HESIT-PIP-FWH-MP3M4-DEFAU-MED-I0-ae5530869f-T,interrupted,text_only,airport_connection,delay_sensitive_traveler,,,,,,,,,,,,,,,,
20260711_170831_b-n0001,C-AC-DST-HESIT-PIP-FWH-MP3M4-DEFAU-MED-I0-ae5530869f-A,interrupted,audio_variant,airport_connection,delay_sensitive_traveler,,,,,,,,,,,,,,,,
20260711_170932_b-n0001,C-AC-RAN-SC-PIP-VOS-MP3M4-DEFAU-MED-I0-0b3c984299-T,interrupted,text_only,airport_connection,risk_averse_novice,,,,,,,,,,,,,,,,
20260711_171032_b-n0001,C-AC-RAN-SC-PIP-VOS-MP3M4-DEFAU-MED-I0-0b3c984299-A,interrupted,audio_variant,airport_connection,risk_averse_novice,,,,,,,,,,,,,,,,
20260711_171132_b-n0001,C-CEE-FC-CLEAN-PIP-FWH-MP3M4-DEFAU-MED-I0-37b23513bd-T,interrupted,text_only,crowded_event_exit,focused_commuter,,,,,,,,,,,,,,,,
20260711_171232_b-n0001,C-CEE-FC-CLEAN-PIP-FWH-MP3M4-DEFAU-MED-I0-37b23513bd-A,interrupted,audio_variant,crowded_event_exit,focused_commuter,,,,,,,,,,,,,,,,
20260711_171302_b-n0001,C-MT-CAR-MC-PIP-VOS-MP3M4-DEFAU-MED-I0-400501dfd8-A,completed,audio_variant,midday_transfer,crowd_averse_rider,11,6,5,11,4,4,1.0,1.0,0.0,3,3,1,0,reliability,confirmation,6
20260711_171332_b-n0001,C-CEE-CAR-MC-PIP-VOS-MP3M4-DEFAU-MED-I0-518e048a12-T,completed,text_only,crowded_event_exit,crowd_averse_rider,9,5,4,9,4,4,0.6666666666666666,1.0,1.0,3,3,0,0,reliability,confirmation,4
20260711_171332_b-n0001_02,C-CEE-DST-HESIT-PIP-FWH-MP3M4-DEFAU-MED-I0-4fd7adbe12-A,completed,audio_variant,crowded_event_exit,delay_sensitive_traveler,13,7,6,13,6,6,0.6666666666666666,1.0,1.0,3,3,0,0,reliability,confirmation,9
20260711_172504_b-n0001,C-CEE-CAR-MC-PIP-VOS-MP3M4-DEFAU-MED-I0-518e048a12-A,completed,audio_variant,crowded_event_exit,crowd_averse_rider,11,6,5,11,4,4,0.6666666666666666,1.0,0.0,2,2,1,0,transfers,reliability,6
20260711_172635_b-n0001,C-MT-DST-HESIT-PIP-VOS-MP3M4-DEFAU-MED-I0-0ac7395939-T,completed,text_only,midday_transfer,delay_sensitive_traveler,9,5,4,9,4,2,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,6
20260711_173105_b-n0001,C-CEE-RAN-SC-PIP-VOS-MP3M4-DEFAU-MED-I0-02fd33f37b-T,completed,text_only,crowded_event_exit,risk_averse_novice,15,8,7,15,4,4,0.6666666666666666,1.0,0.0,2,2,0,0,transfers,reliability,9
20260711_173807_b-n0001,C-MPCC-CAR-SC-PIP-VOS-MP3M4-DEFAU-MED-I0-e3936774f7-T,completed,text_only,morning_peak_cross_city,crowd_averse_rider,19,10,9,19,6,5,1.0,0.0,0.0,3,2,1,0,route,clarification,11
20260711_173837_b-n0001,C-MT-DST-HESIT-PIP-VOS-MP3M4-DEFAU-MED-I0-0ac7395939-A,completed,audio_variant,midday_transfer,delay_sensitive_traveler,20,10,10,20,0,0,0.6666666666666666,1.0,1.0,0,0,1,0,route,route,13
20260711_174516_b-n0001,C-CEE-RAN-SC-PIP-VOS-MP3M4-DEFAU-MED-I0-02fd33f37b-A,completed,audio_variant,crowded_event_exit,risk_averse_novice,9,5,4,9,0,0,0.0,1.0,1.0,0,0,2,0,reliability,route,4
20260711_174939_b-n0001,C-MPCC-FC-MC-PIP-FWH-MP3M4-DEFAU-MED-I0-13f8343ffb-T,completed,text_only,morning_peak_cross_city,focused_commuter,9,5,4,9,4,4,1.0,1.0,1.0,3,3,0,0,transfers,confirmation,7
20260711_175910_b-n0001,C-MPCC-CAR-SC-PIP-VOS-MP3M4-DEFAU-MED-I0-e3936774f7-A,completed,audio_variant,morning_peak_cross_city,crowd_averse_rider,19,10,9,19,0,0,0.0,1.0,1.0,0,0,6,0,route,clarification,5
20260711_180141_b-n0001,C-MPCC-FC-MC-PIP-FWH-MP3M4-DEFAU-MED-I0-13f8343ffb-A,completed,audio_variant,morning_peak_cross_city,focused_commuter,11,6,5,11,4,4,1.0,1.0,1.0,3,3,1,0,route,confirmation,9
20260711_180341_b-n0001,C-MPCC-DST-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-4b023c574d-T,completed,text_only,morning_peak_cross_city,delay_sensitive_traveler,11,6,5,11,4,4,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,8
20260711_181543_b-n0001,C-MPCC-FC-HESIT-PIP-VOS-MP3M4-DEFAU-MED-I0-7ed09cfebe-T,completed,text_only,morning_peak_cross_city,focused_commuter,9,5,4,9,4,4,1.0,1.0,1.0,3,3,0,0,transfers,confirmation,7
20260711_181543_b-n0001_02,C-MPCC-DST-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-4b023c574d-A,completed,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,17,9,8,17,5,3,1.0,1.0,0.0,3,3,3,0,route,confirmation,14
20260711_182744_b-n0001,C-MPCC-FC-HESIT-PIP-VOS-MP3M4-DEFAU-MED-I0-7ed09cfebe-A,completed,audio_variant,morning_peak_cross_city,focused_commuter,20,10,10,20,7,7,1.0,0.0,0.0,1,0,2,0,transfers,route,15
20260711_183045_b-n0001,C-MPCC-DST-MC-PIP-VOS-MP3M4-DEFAU-MED-I0-0abace748a-T,completed,text_only,morning_peak_cross_city,delay_sensitive_traveler,9,5,4,9,4,4,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,6
20260711_184217_b-n0001,C-MPCC-DST-MC-PIP-VOS-MP3M4-DEFAU-MED-I0-0abace748a-A,completed,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,13,7,6,13,4,3,1.0,1.0,1.0,3,3,2,0,route,confirmation,10
20260711_184517_b-n0001,C-MPCC-FC-SC-PIP-VOS-MP3M4-DEFAU-MED-I0-41c13f07cd-T,completed,text_only,morning_peak_cross_city,focused_commuter,11,6,5,11,4,3,1.0,1.0,0.0,3,3,0,0,transfers,confirmation,9
20260711_185018_b-n0001,C-MT-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-f74deb6e5d-T,completed,text_only,midday_transfer,focused_commuter,13,7,6,13,3,2,1.0,1.0,1.0,3,3,1,0,route,clarification,11
20260711_185518_b-n0001,C-MPCC-DST-SC-PIP-VOS-MP3M4-DEFAU-MED-I0-daf9c05fc9-T,completed,text_only,morning_peak_cross_city,delay_sensitive_traveler,11,6,5,11,4,3,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,8
