source_run,condition_id,model_comparison_condition_key,condition_state,agent_a_type,agent_b_model,agent_b_llm_size,tts_engine,asr_engine,run_type,scenario_key,persona_key,speech_pattern_key,agent_a_audio_persona,agent_b_audio_persona,phase_order,phase,observation_count,total_processing_sec,mean_processing_sec,maximum_processing_sec,pipeline_success_rate,error_count,misinterpreted_token_count,correction_count,valid_route_parse_rate,candidate_count,evidence_source
20260710_201202_b-n0001_02,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-3007c4b4eb-T,MC-bc1ef8eeb63c,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,3,automatic_speech_recognition,13,0.556128,0.04277907692307692,0.074021,1.0,0,2,0,,,runtime event telemetry; no retrospective substitution
20260710_201202_b-n0001_02,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-3007c4b4eb-T,MC-bc1ef8eeb63c,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,4,natural_language_understanding,6,0.038491,0.006415166666666666,0.018619,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260710_201202_b-n0001_02,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-3007c4b4eb-T,MC-bc1ef8eeb63c,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,5,dialogue_management,6,0.05114,0.008523333333333332,0.012374,,,,,,6,runtime event telemetry; no retrospective substitution
20260710_201202_b-n0001_02,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-3007c4b4eb-T,MC-bc1ef8eeb63c,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,6,speech_pipeline,13,19.268416,1.482185846153846,2.440551,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_201833_b-n0001,C-AC-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-83ccbc5057-T,MC-b16f951f0ba2,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,airport_connection,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,1,natural_language_generation,9,355.005534,39.44505933333333,81.677973,,,,,,,runtime event telemetry; no retrospective substitution
20260710_201833_b-n0001,C-AC-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-83ccbc5057-T,MC-b16f951f0ba2,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,airport_connection,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,2,text_to_speech,9,11.864484000000001,1.318276,2.013607,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_201833_b-n0001,C-AC-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-83ccbc5057-T,MC-b16f951f0ba2,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,airport_connection,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,3,automatic_speech_recognition,9,0.366127,0.040680777777777774,0.055764,1.0,0,0,0,,,runtime event telemetry; no retrospective substitution
20260710_201833_b-n0001,C-AC-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-83ccbc5057-T,MC-b16f951f0ba2,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,airport_connection,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,4,natural_language_understanding,4,0.024013,0.00600325,0.00797,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260710_201833_b-n0001,C-AC-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-83ccbc5057-T,MC-b16f951f0ba2,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,airport_connection,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,5,dialogue_management,4,0.04084,0.01021,0.012421,,,,,,4,runtime event telemetry; no retrospective substitution
20260710_201833_b-n0001,C-AC-CAR-MC-PIP-VOS-Q05-DEFAU-SML-I0-83ccbc5057-T,MC-b16f951f0ba2,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,airport_connection,crowd_averse_rider,mostly_clean,neutral_caller,clear_operator,6,speech_pipeline,9,12.236922,1.359658,2.057469,1.0,0,,,,,runtime event telemetry; no retrospective substitution
