source_run,condition_id,condition_state,agent_a_type,agent_b_model,agent_b_llm_size,tts_engine,asr_engine,run_type,scenario_key,persona_key,speech_pattern_key,phase_order,phase,observation_count,total_processing_sec,mean_processing_sec,maximum_processing_sec,pipeline_success_rate,error_count,misinterpreted_token_count,correction_count,valid_route_parse_rate,candidate_count,evidence_source
20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,morning_peak_cross_city,focused_commuter,noisy_station,5,dialogue_management,5,4.072887,0.8145773999999999,4.047193,,,,,,4,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,morning_peak_cross_city,focused_commuter,noisy_station,6,speech_pipeline,11,67.922715,6.174792272727273,12.177041,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,clean,1,natural_language_generation,9,444.343054,49.37145044444444,91.232943,,,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,clean,2,text_to_speech,9,14.544186,1.6160206666666665,2.361641,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,clean,3,automatic_speech_recognition,9,0.291559,0.03239544444444445,0.04122,1.0,0,0,0,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,clean,4,natural_language_understanding,4,0.018987,0.00474675,0.008714,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,clean,5,dialogue_management,4,0.041521999999999996,0.010380499999999999,0.013772,,,,,,4,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,midday_transfer,distracted_multitasker,clean,6,speech_pipeline,9,14.845546,1.6495051111111112,2.398986,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,clean,1,natural_language_generation,9,501.275253,55.697250333333336,108.088766,,,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,clean,2,text_to_speech,9,23.772472,2.641385777777778,4.679078,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,clean,3,automatic_speech_recognition,9,52.910961,5.8789956666666665,8.570577,1.0,0,4,0,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,clean,4,natural_language_understanding,4,0.015563,0.00389075,0.00515,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,midday_transfer,distracted_multitasker,clean,5,dialogue_management,4,2.783114,0.6957785,2.748496,,,,,,4,runtime event telemetry; no retrospective substitution
